编号,项目,前置条件,预期结果,当前项目参考（非本机结果）,本轮状态,本轮实际结果,源码提交或安装包SHA256,脱敏证据文件,日期与操作者
A01,环境是否真来自conda,见手册同编号前置条件,见手册同编号PASS对照,已有项目基线；不是操作者本机结果,NOT_RUN,,,,
A02,安装锁定依赖,见手册同编号前置条件,见手册同编号PASS对照,已有项目基线；不是操作者本机结果,NOT_RUN,,,,
A03,运行现有整套回归,见手册同编号前置条件,见手册同编号PASS对照,已有项目基线；不是操作者本机结果,NOT_RUN,,,,
A04,构建实验扩展并核对来源,见手册同编号前置条件,见手册同编号PASS对照,已有项目基线；不是操作者本机结果,NOT_RUN,,,,
A05,真正的类型门槛（当前失败）,见手册同编号前置条件,见手册同编号PASS对照,当前项目59错误、退出1；类型门槛FAIL（59为裸跑基线仍准确；另见骨架口径14/11/0，不替代本项）,NOT_RUN,,,,
B00,领取候选、核对身份——没有资料就BLOCKED,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
B01,宿主版本与隔离启动,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
B02,原生资产：文件存在与实际可用分开验,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
B03,扩展是否真的激活,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
B04,原生Chat/Workbench/Sessions界面对照,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C00,必须先满足的条件,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C01,建立只含虚构文件的工作区,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C02,准备独立Inspector客户端,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C03,从正确的测试Bridge取得地址,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C04,用私有只读配置指定唯一目标,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C05,只握手，不先调用工具,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C06,列工具，核对测的是正确服务,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C07,实际只读调用及结果对照,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C07-F,find_files,C00及C06通过,见MCP手册C07表,当前完整候选未就绪,BLOCKED,,,,
C07-I,read_image,C00及C06通过,见MCP手册C07表,当前完整候选未就绪,BLOCKED,,,,
C07-S,search_files,C00及C06通过,见MCP手册C07表,当前完整候选未就绪,BLOCKED,,,,
C08,写入和回退：只动虚构文件,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C09,拒绝场景：必须有负向证据,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C10,停止、轮换与清理,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
C11,协议兼容与远程客户端补验,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
D00,安装前：资料齐了才能点EXE,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
D01,下载完整性与签名状态,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
D02,干净新装（CLEAN快照）,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
D03,安装后的真实启动与持久化,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
D04,同版重装与升级（OLD-TEST快照）,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
D05,取消安装和运行中占用,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
D06,卸载与保留数据,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
D07,回退、中文路径、非管理员及并存,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
D08,最终对照与签字,见手册同编号前置条件,见手册同编号PASS对照,当前完整候选未就绪,BLOCKED,,,,
